tu,điểm,Gloss
xấu,-0.5,
hấp_dẫn,0.875,
vui_vẻ,0.75,
dài,-0.25,
phong_phú,-0.25,
thừa_thãi,-0.375,
khan_hiếm,-0.25,
chấp_nhận,0.625,
chập_chờn,-0.5,
chăm_chút,0.675,
cất_nhắc,0.5,
cấp_bách,-0.25,
be_bét,-0.5,
chằm_chằm,-0.25,
bập_bõm,-0.375,
châm_chọc,-0.5,
bày_vẽ,-0.25,
chằng_chịt,-0.25,
chân_tình,0.75,
chần_chừ,-0.375,
báo_oán,-0.375,
bần_bật,-0.25,
bảo_lãnh,0.25,
bàng_quan,-0.25,
bất_cẩn,-0.25,
tự_nhiên,0.375,
sâu_sắc,0.625,
quý_báu,0.625,
láu_cá,-0.375,
ngon_lành,0.375,
ngạc_nhiên,0.5,
náo_nhiệt,0.375,
thích_hợp,0.75,
tức_giận,-0.875,
chật_hẹp,-0.5,
hào_phóng,0.25,
mơ_hồ,0.125,
vị_tha,0.75,
báo_động,-0.625,
sợ,-0.5,
tiến_bộ,0.5,
rực_rỡ,0.75,
xinh_đẹp,0.875,
quả_quyết,0.5,
yên_lòng,0.5,
đe_dọa,-0.75,
khủng_khiếp,-0.625,
xấu,-0.625,
thông_minh,0.5,
thịnh_vượng,0.625,
xám_xịt,-0.125,
phô_trương,-0.375,
lo_lắng,-0.375,
khờ_dại,-0.375,
nhút_nhát,-0.125,
rõ_ràng,0.375,
cẩn_thận,0.5,
lưỡng_lự,0.0,
tối_dạ,-0.5,
bực_dọc,-0.5,
bẩn_thỉu,-0.75,
ổn_định,0.375,
bình_tĩnh,0.375,
nhàn_rỗi,0.375,
vững_chắc,-0.375,
hăng_hái,0.25,
tối_tăm,-0.375,
tái_mét,-0.25,
hèn_nhát,-0.5,
tệ nhất,-0.5,
tốt_bụng,0.5,
hiểm_ác,-0.75,
hiếm,-0.875,
xanh_tươi,0.375,
lan_tràn,-0.375,
tuyệt_đối,0.5,
không_thể,-0.75,
hạn_chế,-0.75,
bí_mật,0.5,
yếu,-0.25,
ngu_dốt,-0.75,
hà_khắc,-0.75,
sáng_sủa,0.5,
đục,-0.25,
giàu,0.625,
trung_lập,0.0,
trong_sáng,0.5,
cần_thiết,0.5,
căng_thẳng,-0.5,
gây ấn_tượng sâu_sắc,0.5,
nghệ_thuật,0.625,
nhanh_nhạy,0.5,
khéo_léo,0.625,
ẩn,-0.625,
vô_hiệu,-0.5,
chậm,-0.75,
chậm_chạp,-0.5,
nhộn_nhịp,0.5,
nóng,0.5,
hoạt_động,0.375,
không quen_thuộc,-0.75,
chấp_nhận_được,0.625,
ngược_đãi,-0.625,
chặt_chẽ,-0.375,
dịu,-0.375,
kị,-0.75,
không hốt_hoảng,0.375,
không_thể đổi,-0.375,
vô_hồn,-0.75,
sống,0.5,
chết,-0.75,
hữu_hiệu,0.5,
khắc_nghiệt,-0.334,
khó_chịu,-0.75,
dễ_chịu,0.5,
kích_động,-0.5,
hung_dữ,-0.5,
mất bình_tĩnh,-0.625,
e_ngại,-0.5,
thô_bạo,-0.875,
yên_tâm,0.625,
mạch_lạc,0.5,
thận_trọng,0.75,
liều_lĩnh,-0.625,
quá cẩn_thận,0.5,
dơ,-0.75,
hoang_dã,-0.125,
khôn_lường,-0.5,
tính được,0.5,
nhức_óc,-0.5,
đinh_tai,-0.5,
đinh tai nhức_óc,-0.5,
hỗn_tạp,-0.625,
vô_tư,0.5,
khách_quan,0.5,
ghen,-0.375,
sắc_bén,0.5,
tệ,-0.625,
tệ_hại,-0.625,
thô_tục,-0.75,
dơ_bẩn,-0.75,
nguyên_sơ,0.375,
sạch,0.5,
nguyên,-0.75,
nhân_đạo,0.625,
xanh_xao,-0.375,
sôi_động,0.375,
xin_lỗi,-0.625,
uyển_chuyển,0.625,
không thay_đổi,-0.625,
điều_chỉnh,0.625,
được chứng_nhận,0.5,
thường,0.25,
không xứng,-0.625,
thoải_mái,0.625,
đau_đớn,-0.625,
gây cháy,-0.625,
dễ_cháy,-0.5,
phân_tách,-0.5,
thân_mật,0.75,
ngu_si,-0.75,
xấu_số,-0.75,
quá_mức,-0.625,
hiền,0.375,
nhầm_lẫn,-0.75,
rắn,-0.25,
sống_động,0.375,
dễ_hiểu,0.5,
mật_độ thấp,-0.5,
đơn_độc,-0.625,
khó_hiểu,-0.375,
thản_nhiên,0.625,
triệt_để,0.875,
toàn_diện,0.75,
nén,0.5,
phàn_nàn,-0.75,
có thẩm_quyền,0.75,
xung_đột,-0.5,
đối_kháng,-0.25,
tương_thích,0.5,
lãnh_đạm,-0.375,
bở,-0.5,
độc_đáo,0.5,
đặc_biệt,0.625,
phá_hủy,-0.625,
phân_biệt,0.625,
không_thể nhận_rõ,-0.5,
vô_hình,-0.375,
đậm,0.5,
nổi_tiếng,0.5,
dễ_thấy,0.75,
bảo_thủ cực_đoan,-0.5,
hài_hòa,0.625,
phản_cảm,-0.625,
hòa_đồng,0.75,
giới_hạn,-0.75,
chia_rẽ bè_phái,-0.5,
tạm_thời,-0.625,
thờ_ơ,-0.5,
liên_quan,0.125,
lầm,-0.375,
sai_lầm,-0.375,
giả_dối,-0.625,
bẩn_thỉu dơ_bẩn,-0.75,
hoang_sơ,-0.875,
đáng_tin_cậy,0.5,
thông_thường,-0.625,
nhận_được,0.5,
vụng,-0.75,
bất_tiện,-0.625,
thuận_tiện,0.375,
hung_hăng,-0.625,
liên_tục,-0.375,
bất_mãn,-0.625,
tự_mãn,-0.25,
tàn_phá,-0.75,
khiêu_dâm,-0.625,
bất_hợp_tác,-0.625,
liêm_khiết,0.5,
nghiêm_trang,0.625,
đoan_trang,0.75,
quyết_định,0.375,
hỏng,-0.75,
may,0.875,
may_mắn,0.875,
đáng_ghét,-0.5,
không quan_trọng,-0.5,
nghiêm_trọng,-0.625,
quan_trọng,0.5,
bất_lịch_sự,-0.5,
đột_ngột,-0.375,
lịch_sự,0.875,
phi dân_chủ,-0.625,
dân_chủ,0.375,
tuyệt_vọng,-0.5,
dễ_tính,0.375,
yếu_đuối mỏng_manh,-0.625,
phấn_chấn,0.375,
chán_nản,-0.625,
xác_định,0.75,
tuân_theo,0.5,
ngoan_cố,-0.75,
nghịch_ngợm,-0.5,
bất_khả_chiến_bại,0.5,
đánh_bại,0.5,
khẳng_định,0.5,
do_dự,-0.625,
kiên_quyết,0.375,
cẩu_thả,-0.25,
ngớ_ngẩn,-0.625,
nghiêm,0.25,
bực_bội,-0.625,
cố_gắng,-0.5,
trục_trặc,-0.75,
nhạy_cảm,0.625,
gian_khổ,-0.625,
quyết_tâm,0.625,
phát_hiện,0.625,
bảo_tồn,0.625,
đắm,-0.625,
đổ_nát,-0.5,
mong_muốn,0.5,
bất_lực,-0.75,
chắc_chắn,0.625,
lăng_nhăng,-0.75,
bừa_bãi,-0.5,
phân_biệt đối_xử,0.625,
kín_đáo,0.625,
sáng_suốt,0.625,
sành_điệu,0.875,
tàn_bạo,-0.625,
thẳng,0.375,
vô_tội_vạ,-0.5,
xa_lánh,-0.75,
lịch_thiệp,0.5,
không cân_đối,-0.625,
không nén được,-0.625,
không cạnh_tranh,-0.75,
không tương_thích,-0.625,
tập_trung,0.625,
ham,0.375,
lạc_hậu,-0.5,
lấp_lánh,0.5,
mát_mẻ,0.375,
sinh_động,0.5,
tỉnh_táo,0.625,
sặc_sỡ,0.5,
khoa_trương,0.375,
sở_hữu,0.625,
không_phục,-0.5,
phục_tùng,0.75,
bắt_nạt,-0.375,
độc_đoán,-0.375,
không rời_rạc,0.75,
chọn_lọc,0.625,
đánh_giá cao,0.5,
lơ_đãng,-0.25,
vỡ_mộng,0.125,
thất_vọng,-0.875,
say_mê,0.75,
thất_nghiệp,-0.625,
kiên_nhẫn,0.75,
cảm,0.25,
xứng_đáng,0.5,
đủ_điều_kiện,0.5,
bắt_buộc,0.5,
mạnh_mẽ,-0.5,
vất_vả,-0.5,
không_còn tồn_tại,-0.75,
ít_học,-0.5,
dễ_dàng,0.625,
danh_dự,0.5,
điên,-0.25,
loang_lổ,-0.75,
chê_bai,-0.75,
ca_ngợi,0.25,
miễn_phí,0.5,
đạo_đức,0.625,
thương_tâm,-0.334,
khinh,-0.75,
tôn_kính,0.75,
phức_tạp,-0.375,
nhớ_nhà,0.75,
ganh_tị,-0.125,
nhiệt_tình,0.625,
không gan_dạ,-0.375,
giác_ngộ,0.5,
tối_giản,-0.625,
chịu_nổi,-0.5,
không đúng sự_thật,-0.625,
nguy_hiểm,-0.5,
bỏ_đạo,-0.625,
chung_thủy,0.625,
trung_thành,0.625,
bất_công,-0.375,
trung_thực,0.375,
công_bằng,0.5,
mở_rộng,0.5,
hợp_lệ,0.5,
đắt,0.5,
tiêu_hao,-0.75,
tái_tạo,0.625,
cạn_kiệt,0.625,
khiển_trách,-0.5,
chỉnh_tề,0.625,
ngăn_nắp,0.625,
vô_tâm,-0.75,
chu_đáo,0.625,
không_thể_tưởng_tượng,-0.625,
trật_tự,0.125,
gọn_gàng,0.5,
ngon,0.375,
bất_hạnh,-1.0,
vớ_vẩn,-0.75,
khổ_sở,-0.75,
mảnh_dẻ,0.5,
khó_tính,0.5,
kỳ_lạ,0.5,
lạ,-0.625,
lang_thang,-0.375,
cao_cấp,0.5,
không điển_hình,-0.75,
tin_cậy,0.5,
cảnh_giác,-0.625,
gian_dối,-0.75,
thanh_thản,-0.625,
khổ,-0.5,
quấy_rầy,-0.5,
khó,-0.75,
không độc,-0.625,
chịu,0.5,
cay_đắng,-0.5,
không chịu_đựng được,-0.625,
bừa_bộn,-0.875,
lộn_xộn,-0.5,
bù_xù,-0.625,
là lạ,-0.625,
chóng_mặt,-0.75,
bị viêm cuống_phổi,-0.625,
bình_phục,0.25,
hoan_nghênh,0.5,
mong_mỏi,0.625,
nồng_nhiệt,0.25,
ác,-0.625,
vô_tội,0.5,
vô_nghĩa,-0.625,
vặt,-0.375,
vô_giá_trị,0.5,
không hợp_lệ,-0.75,
dùng được,0.5,
vô_ích,-0.5,
vô_dụng,-0.5,
không xác_đáng,0.5,
thiêng liêng,0.75,
quý_giá,0.625,
đáng_khen_ngợi,0.625,
mòn,-0.5,
ngu_ngốc,-0.625,
khôn,0.625,
miễn_cưỡng,-0.5,
không muốn,-0.75,
sẵn_sàng,0.5,
dễ sử_dụng,-0.5,
hợp_vệ_sinh,0.875,
lành_mạnh,0.625,
dính,-0.5,
tê_liệt,-0.5,
xanh,-0.75,
phi ngôn_ngữ,-0.75,
phi tài_chính,-0.5,
kháng_khuẩn,0.625,
bền_vững,0.625,
suy_giảm_miễn_dịch,-0.75,
tuần_hoàn,0.5,
gây ung_thư,-0.375,
háu_ăn,-0.625,
không vành,-0.5,
nhân_từ,0.625,
suy_nhược,-0.5,
dị_ứng,-0.625,
kháng virus,0.5,
tiêu_độc,-0.125,
ác_tính,0.25,
lành,-0.75,
du_dương,0.75,
đau_thương,-0.75,
có_hại,-0.5,
xảo_quyệt,-0.625,
tồi,-0.75,
phản_tác_dụng,-0.375,
tai_hại,-0.75,
vu_khống,-0.875,
lạm_dụng,-0.875,
hại,-0.625,
co_cứng,-0.5,
tinh_túy,0.625,
êm_tai,0.375,
hợp_lý,0.5,
phi tham_số,-0.625,
cá_nhân,-0.375,
hồng_hào,0.875,
gây sốt,-0.5,
phi vật thể,-0.5,
hữu_hình,0.5,
hỗn_loạn,-0.625,
không hoạt_động,-0.5,
không lành_mạnh,-0.75,
gây_bệnh,-0.5,
vô_hiệu_hóa,-0.5,
hại_sức_khỏe,-0.5,
phòng_ngừa,0.75,
hữu_cơ,0.625,
bổ_ích,0.875,
kháng_sinh,0.625,
không điều hòa,-0.75,
tinh_khiết,0.25,
đầy khí,-0.625,
bị loét,-0.625,
không khỏe_mạnh,-1.0,
đỏ_ngầu,-0.75,
nhức_nhối,-0.875,
trẻ_trung,0.75,
tươi_tắn,0.5,
mạnh_khỏe,0.75,
sung_sức,0.75,
chắc,0.75,
săn,0.75,
săn chắc,0.75,
mạnh,0.75,
khỏe,0.75,
khỏe_mạnh,0.75,
khỏe_khoắn,0.625,
thuộc trái_đất,-0.5,
thần_thánh,0.5,
trên thiên_đường,0.5,
có đờm,0.125,
khô,-0.75,
bị giãn tĩnh_mạch,-0.875,
bị đau_mắt,-0.75,
ốm_yếu,-0.875,
tâm_thần,-0.375,
vàng,-0.625,
viêm,-0.75,
tấy,-0.875,
sưng_tấy,-0.875,
bị thối hoại,-0.5,
bị chứng_phù,-0.75,
bệnh_lý,-0.5,
nâng_cao,0.5,
lãi_suất cao,-0.375,
lãi_suất thấp,-0.25,
công_nghệ cao,0.5,
giữ thể_diện,0.5,
giúp_đỡ,0.5,
nhẹ_nhàng,-0.625,
không đều,-0.5,
sẵn_lòng giúp_đỡ,0.5,
đáng_lo_ngại,-0.875,
nặng_nề,-0.625,
hạng nhẹ,-0.75,
nặng_bụng,-0.5,
không tiêu,-0.5,
đầy_hơi,-0.5,
nhẹ,-0.5,
ứ_đọng,-0.625,
không có tương_lai,-0.625,
xuống_cấp,-0.625,
lăng_nhục,-0.375,
đê_tiện,-0.5,
gian_lận,-0.625,
vô_vọng,-0.75,
chất_lượng kém,-0.625,
kính,0.5,
danh,0.75,
sai sự_thật,-0.625,
dị,-0.625,
mô_phỏng,-0.5,
khàn_khàn,-0.625,
sắc nét,0.5,
xuống,-0.5,
công_nghiệp,0.625,
truyền_nhiễm,-0.625,
am_hiểu,0.5,
thân_giao,0.5,
đùa,0.875,
vui_nhộn,0.375,
không cảm_động,-0.625,
không_phải người,-0.625,
phi thường,0.5,
oi_ả,-0.625,
có_thể làm nóng,0.625,
sinh_hàn,-0.5,
cực,-0.75,
lạnh_toát,-0.625,
nhiệt_đới,-0.5,
chang_chang,-0.75,
đứng,-0.5,
không_thể giải_khuây,-0.75,
không_trung_thực,-0.875,
tương_đồng,-0.5,
tương_tự,-0.5,
không xếp_hạng,-0.625,
cánh_tay_phải,0.625,
bị sâu,-0.5,
bị nhọt,-0.75,
sưng,-0.625,
không nhiễm_từ,-0.625,
vị thành_niên,-0.75,
quản_lý,0.625,
nam_tính,0.375,
đề_cao,0.625,
thương,-0.625,
có_thể_quan_sát,0.5,
nhận_biết,0.5,
có_thể nhận_thấy rõ,0.625,
đáng chú_ý,0.625,
có_thể cảm_thấy,0.625,
suy_yếu,-0.5,
khiếm,-0.5,
có_thể định rõ,0.625,
ung_dung,-0.625,
vô_định,-0.5,
nhận_dạng được,0.625,
đáng cười,0.5,
hung_bạo,-0.375,
tàn_nhẫn,-0.625,
có ác_cảm,-0.5,
hiếu_khách,0.5,
ngoại_đạo,-0.625,
không tín_ngưỡng,-0.25,
bất_tín,-0.625,
kháng,-0.5,
cách_âm,-0.75,
được_chấp_nhận,0.5,
thường_trực,-0.625,
phân hủy_sinh_học,0.625,
bất_thường,-0.625,
lỗi,-0.5,
không hoàn_hảo,-0.625,
lý_tưởng,0.75,
trọn_vẹn,0.625,
hoàn_hảo,0.625,
khó sờ_thấy,-0.375,
mù_quáng,-0.75,
ngọt_ngào,0.875,
thú_vị,0.75,
đáng ngưỡng_mộ,0.875,
tuyệt_vời,0.875,
duyên_dáng,0.875,
cau_mày,-0.125,
bạc_bẽo,-0.875,
mất_lòng,-0.75,
hài_lòng,0.5,
vui_mừng,0.5,
không hài_lòng,-0.625,
không thuyết_phục,-0.5,
đẹp,0.625,
không_đội_trời chung,-0.675,
gay_gắt,-0.5,
dễ an_ủi,0.625,
sinh_lợi,0.75,
gây chú_ý,0.5,
vắng_mặt,-0.5,
quái_đản,-0.5,
không_thể đoán_trước,-0.625,
tự_cao,-0.25,
công_suất cao,0.5,
cao_thế,0.5,
không_thể làm,-0.625,
không_thể thực_hiện,-0.75,
có_thể,0.5,
dương,0.5,
lạc_quan,0.625,
thất_sách,-0.5,
khôn_ngoan,0.5,
thô,-0.75,
vô_kỷ_luật,-0.625,
không đủ_tiêu_chuẩn,-0.625,
không pha_trộn,-0.75,
không trong_sạch,-0.625,
vô_giáo_dục,-0.625,
không_được giáo_dục,-0.625,
thiếu thận_trọng,-0.375,
khiêm_tốn,0.75,
quá tự_hào,0.375,
được bảo_vệ,-0.75,
báo_trước,-0.5,
bảo_vệ,0.625,
không thuận_tiện,-0.625,
điềm_báo,-0.55,
nông_cạn,-0.5,
chính_đáng,0.75,
thù_địch,-0.75,
không xứng_đáng,-0.375,
vinh_dự,0.75,
uy_tín,0.875,
mất,-0.5,
tinh,0.25,
chưa tinh_chế,-0.75,
không có cơ_sở,-0.5,
không thực_tế,-0.75,
huyền_thoại,0.0,
vô_lý,-0.5,
minh_mẫn,0.75,
chủ_tâm,0.5,
chất_lượng,0.5,
định_lượng được,0.625,
bị biến_đổi,-0.375,
vô_lương_tâm,-0.75,
vô_nguyên_tắc,-0.625,
chưa mở,-0.5,
yếu_đuối,-0.625,
mập_mạp,0.25,
thép,0.375,
thẳng_thắn,0.75,
thuộc khu ổ_chuột,-0.625,
phản,-0.625,
không_được đánh_thức,-0.625,
bất_kính,-0.5,
bất_trị,-0.625,
vô_công rồi nghề,-0.375,
không phản_hồi,-0.75,
vô_trách_nhiệm,-0.5,
xúc_phạm,-0.625,
vô_hạn,-0.375,
hạn,-0.625,
bị cạn_kiệt,-0.625,
chưa hoàn_thành,-0.625,
dồi_dào,0.5,
màu_mỡ,0.625,
kích_thích,0.5,
gây_mê,-0.625,
vô_cảm,-0.5,
chia_sẻ,0.5,
cấp_trên,0.625,
bảo_hiểm,0.625,
tháo,-0.5,
run,-0.75,
bảo_đảm,0.75,
an_toàn,0.25,
ràng_buộc,-0.625,
mùi dễ_chịu,0.75,
thối,-0.7,
mùi_thối,-0.7,
hôi,-0.75,
mốc,-0.875,
mùi_hôi_thối,-0.75,
thơm,0.5,
định_mệnh,-0.75,
ngẫu_nhiên,0.5,
không_hề khoan_nhượng,-0.75,
dai_dẳng,-0.375,
tàn_tật,-0.75,
không thích_hợp,0.5,
phù_hợp với,-0.75,
phân_hạch,0.5,
trống,-0.5,
trắng,-0.5,
hiệu_quả,0.5,
tan,-0.5,
tê_buốt,-0.5,
lạnh,-0.5,
không thân_thiện,-0.75,
láng_giềng,0.625,
vui_tính,0.625,
tươi,0.625,
hư_hỏng,-0.75,
không thường_xuyên,-0.625,
không tự_do,-0.75,
không hạn_chế,0.5,
không bị cản_trở,-0.625,
không cố_định,-0.5,
tiết_kiệm,0.625,
thánh_thiện,0.625,
không_biết xấu_hổ,-0.875,
bốc_mùi_hôi_thối,-0.75,
cực_xấu,-0.875,
khó_khăn,-0.625,
sợ_hãi,-0.875,
không_kể_xiết,-0.875,
siêu,0.625,
sáng,0.5,
vinh_quang,0.375,
giả_mạo,-0.75,
giả,-0.556,
thực_sự,0.19999999999999996,
chính_hãng,0.636,
hào_hùng,0.5,
sốt_sắng,0.375,
kiêu_căng,-0.5,
khó_tiêu,-0.625,
hạ_sốt,0.5,
phục_hồi,0.5,
tinh_nghịch,-0.625,
gây tác_hại,-0.75,
vu_khống bôi_nhọ,-0.875,
yểu_điệu,-0.375,
hờn_dỗi,-0.625,
ủ_rũ,-0.375,
xấu_xa,-0.75,
tham_nhũng,-0.334,
nham_hiểm,-0.75,
dã_man,-0.875,
trong trắng,0.75,
vô_trùng,0.625,
không bị nhiễm_bệnh,0.625,
khử_trùng,0.75,
thối_rữa,-0.625,
làm nhiễm,-0.25,
bị áp xe,-0.5,
tê_tái,-0.5,
nhạy,-0.5,
đần_độn,-0.5,
trơ,-0.625,
khó nắm_bắt,-0.625,
dí_dỏm,0.5,
khôi_hài,0.625,
nhàn_nhã,-0.625,
thong_thả,-0.75,
vô_nhân_đạo,-0.75,
cả_tin,0.5,
khói thuốc,0.5,
khói,-0.5,
siêu_mịn,0.5,
tinh_tế,0.75,
thành_thạo,0.625,
chân_thành,0.625,
không phức_tạp,0.125,
tác_dụng,0.5,
độc_quyền,-0.75,
cân_đối,0.75,
lãnh_cảm,0.375,
gợi_cảm,0.625,
nhõng_nhẽo,-0.375,
vui_tươi,0.625,
phù_phiếm,-0.75,
lác_mắt,-0.5,
gây đột_biến,0.5,
thần_kinh,-0.5,
công_tước,0.75,
sốt,-0.5,
suy_nhược thần_kinh,-0.5,
sự_chống_đối Do Thái,-0.75,
dại,-0.5,
thân_thiện,0.875,
đối_đầu,-0.375,
rung_rinh,0.5,
nhẫn_tâm,0.375,
lanh_lợi,0.375,
tinh_thần,0.5,
không bão hòa,-0.5,
kiên_cố,0.75,
không may_mắn,-0.875,
buồn_bã,-0.625,
định_kiến,-0.625,
sai,-0.75,
không ưa,-0.5,
xấu_hổ,-0.5,
rắc_rối,-0.875,
tai_họa,-0.5,
nạn_nhân,-0.5,
do dự,-0.5,
tốt,0.875,
giao điểm,-0.625,
ước,0.125,
thích,0.875,
thực_ bào,0.625,
tiền ung_thư,-0.5,
tự_do,0.5,
giá quá thấp,-0.5,
phù_hợp,0.875,
dường_như,0.375,
ngưỡng_mộ,0.625,
mùi,-0.875,
tỏa sáng,0.625,
chịu đựng,0.5,
gai,-0.75,
bứt_rứt,-0.875,
xem,0.75,
tặng,0.625,
ăn_cắp,-0.5,
cướp,-0.5,
thoát,0.5,
ám_sát,0.5,
nỗi thống_khổ,-0.5,
hy_vọng,0.375,
đẩy_lùi,0.125,
bụi,-0.5,
trả_giá cao hơn,-0.5,
hy_sinh,-0.5,
giải_phóng,0.5,
phục_hồi chức_năng,0.625,
chống_đỡ,-0.5,
bại_hoại,-0.625,
độc,-0.5,
thủ_đoạn,-0.875,
đứng yên,-0.5,
hóa lẫn,0.25,
hội_đủ điều_kiện,0.625,
bán,-0.5,
đáng báo_động,-0.625,
không một_chút sáng_tạo,-0.5,
không tạo được cảm hứng,-0.5,
không có kiểu nhận_thức sáo_rỗng,0.5,
không_được bóng_bẩy,-0.5,
không_được hay,-0.6,
kém đến_đâu,-0.375,
chỉ quan_tâm,0.125,
sáo_rỗng,-0.625,
không_tập_trung,-0.5,
không_phải chỉ có lỗi,-0.6,
mơ_mộng,0.375,
còn nhỏ,-0.375,
không chỉ có lỗi,-0.6,
do_đó,0.625,
giận_dữ,-0.75,
không hào_hứng lắm,-0.5,
không khơi dậy,-0.375,
soi_mói,-0.5,
xì_xào,-0.375,
thật khó lắm thay,-0.5,
không dày_cộp,0.375,
rùng_mình,-0.375,
chân_thực hơn,0.5,
không mang lại cảm_hứng,-0.5,
chưa_chắc khả_năng,0.375,
cũng không_thể cải_thiện được,-0.6,
nhiều điều_tốt_đẹp,0.6,
chỉ_trích,-0.375,
không_được như_vậy,-0.475,
hơi xưa_cũ,-0.375,
không tệ,0.5,
hoàn_thành,0.5,
vượt_qua mọi thử_thách,0.5,
coi_thường,0.375,
chia_buồn,-0.375,
cực kỳ phẫn_nộ,-0.875,
canh_cánh,-0.375,
tổn_thương,-0.6,
bạo_hành,-0.75,
vã_mồ_hôi,-0.375,
thấy sợ,-0.375,
hành_hạ,-0.6,
ngây_ngô đến vậy,-0.375,
khô_khan,-0.5,
kém hấp_dẫn,-0.375,
rất khó chấp_nhận,-0.475,
không_thể làm_gì hơn được,-0.5,
giá quá cao,-0.375,
chuyện nhỏ,0.375,
hàng_hiệu,0.5,
tăng_lên,0.5,
không_phải dễ,-0.375,
tạo cơn sốt,0.375,
bình_thường mà,0.125,
ghê nhỉ,-0.375,
từ_thiện,0.5,
khó_khăn đến_thế,-0.6,
không_bao_giờ,-0.375,
tạo cơ_hội,0.5,
như mong_muốn,0.625,
giữ sức_khoẻ,0.5,
hết sức mình,0.375,
ủng hộ,0.5,
trọc_phú,0.375,
tính_toán,-0.5,
chẳng việc_gì phải buồn,-0.5,
ghét cay ghét_đắng,-0.675,
đừng quá quan_tâm,0.375,
giàu lên vì tham_nhũng,-0.675,
đục_khoét của_công,-0.5,
phấn_đấu,0.875,
thấu_hiểu,0.6,
đừng buồn,0.5,
choai_choai,-0.375,
chấn_chỉnh và chấm_dứt,0.5,
không thèm,0.5,
giá_đắt lắm,-0.5,
mới gì đâu,-0.375,
hiệu_năng,0.5,
bàng_hoàng,-0.5,
lệch_lạc,-0.5,
mỹ,0.625,
thiện,0.625,
chân,0.625,
không_thể_nào chấp_nhận được,-0.875,
quá thất_vọng,-0.75,
giỏi_giang,0.625,
nhàm_chán,-0.625,
ủy mị,-0.375,
kênh_kiệu,-0.675,
khinh_người,-0.5,
cổ_hủ,-0.375,
thiển_cận,-0.5,
nhà_giàu,0.675,
thượng_lưu,0.375,
bức_xúc,-0.625,
thật tức chết đi đuợc,-0.625,
không_còn nhân_tính,-0.875,
xót_xa đau_lòng,-0.625,
tổn_thất nặng_nề,-0.625,
ác hơn_cả thú,-0.875,
đích_đáng,-0.625,
mỏng_manh,-0.375,
choáng_váng,-0.5,
thật khủng_khiếp,-0.625,
đau_lòng đến thế_nào,-0.875,
thấy xót_xa,-0.625,
hùng_biện,0.5,
uyên_bác,0.875,
lôi_cuốn hơn,0.625,
đáng buồn,-0.875,
ảo_tưởng,-0.25,
ái_ân,0.75,
ám_muội,-0.5,
an_phận,-0.375,
ái_mộ,0.5,
ác_liệt,-0.5,
ác_khẩu,-0.5,
ác_hiểm,-0.75,
a_dua,-0.5,
thích_thú,0.875,
yêu,0.875,
ghét,-0.75,
không có tình_thương,-0.625,
vô cùng tàn_ác,-0.875,
vô nhân_tính,-0.875,
bán_tháo,-0.375,
bãi_bỏ,0.0,
bãi_nhiệm,-0.25,
bạc_đãi,-0.5,
ấp_úng,-0.25,
ẩn_ý,0.25,
ẩn_nấp,0.25,
ân_nghĩa,0.5,
ân_hận,-0.25,
ẩm_ướt,-0.375,
ấm_êm,0.5,
âm_thầm,-0.5,
ăn_thua,-0.375,
ăn_khách,0.5,
ăn_hiếp,-0.5,
ăn_đủ,-0.5,
chính_xác,0.5,
giỏi,0.75,
ngu,-0.75,
khờ,-0.375,
xinh_xắn,0.6,
xinh,0.5,
cải_tiến,0.5,
tiêu_cực,-0.6,
tối_ưu,0.5,
nhẹ_nhõm,0.6,
thở_phào,0.5,
nghiêm_túc,0.5,
chăm,0.75,
lười,-0.6,
tuyệt,0.6,
hay,0.5,
đồng_ý,0.5,
phủ_định,-0.75,
ấn_tượng,0.5,
ảnh_hưởng,-0.375,
tốt_hơn,0.75,
khuyến_khích,0.625,
bất_lợi,-0.75,
tích_cực,0.75,
có lợi,0.625,
thuận_lợi,0.625,
nguyên_chất,0.625,
khéo_tay,0.5,
giản_lược,-0.5,
hoàn_chỉnh,0.5,
nhanh,0.125,
dễ_thương,0.5,
